time	deficient_by_break	deficient_by_change	not_deficient
150	0	0	43
151	0	0	43
152	0	0	43
153	0	0	43
154	0	0	43
155	0	0	43
156	0	0	43
157	0	0	43
158	0	0	43
159	0	0	43
160	0	0	43
161	0	0	43
162	0	0	43
163	0	0	43
164	0	0	43
165	0	0	43
166	0	0	43
167	0	0	43
168	0	0	43
169	0	0	43
170	0	0	43
171	0	0	43
172	0	0	43
173	0	0	43
174	0	0	43
175	0	0	43
176	0	0	43
177	0	0	43
178	0	0	43
179	0	0	43
180	0	0	43
181	0	0	43
182	0	0	43
183	0	0	43
184	0	0	43
185	0	0	43
186	0	0	43
187	0	0	43
188	0	0	43
189	0	0	43
190	0	0	43
191	0	0	43
192	0	0	43
193	0	0	43
194	0	0	43
195	0	0	43
196	0	0	43
197	0	0	43
198	0	0	43
199	0	0	43
200	0	0	43
201	0	0	43
202	0	0	43
203	0	0	43
204	0	0	43
205	0	0	43
206	0	0	43
207	0	0	43
208	0	0	43
209	0	0	43
210	0	0	43
211	0	0	43
212	0	0	43
213	0	0	43
214	0	0	43
215	0	0	43
216	0	0	43
217	0	0	43
218	0	0	43
219	0	0	43
220	0	0	43
221	0	0	43
222	0	0	43
223	0	0	43
224	0	0	43
225	0	0	43
226	0	0	43
227	0	0	43
228	0	0	43
229	0	0	43
230	0	0	43
231	0	0	43
232	0	0	43
233	0	0	43
234	0	0	43
235	0	0	43
236	0	0	43
237	0	0	43
238	0	0	43
239	0	0	43
240	0	0	43
241	0	0	43
242	0	0	43
243	0	0	43
244	0	0	43
245	0	0	43
246	0	0	43
247	0	0	43
248	0	0	43
249	0	0	43
250	0	0	43
251	0	0	43
252	0	0	43
253	0	0	43
254	0	0	43
255	0	0	43
256	0	0	43
257	0	0	43
258	0	0	43
259	0	0	43
260	0	0	43
261	0	0	43
262	0	0	43
263	0	0	43
264	0	0	43
265	0	0	43
266	0	0	43
267	0	0	43
268	0	0	43
269	0	0	43
270	0	0	43
271	0	0	43
272	0	0	43
273	0	0	43
274	0	0	43
275	0	0	43
276	0	0	43
277	0	0	43
278	0	0	43
279	0	0	43
280	0	0	43
281	0	0	43
282	0	0	43
283	0	0	43
284	0	0	43
285	0	0	43
286	0	0	43
287	0	0	43
288	0	0	43
289	0	0	43
290	0	0	43
291	0	0	43
292	0	0	43
293	0	0	43
294	0	0	43
295	0	0	43
296	0	0	43
297	0	0	43
298	0	0	43
299	0	0	43
300	0	0	43
301	0	0	43
302	0	0	43
303	0	0	43
304	0	0	43
305	0	0	43
306	0	0	43
307	0	0	43
308	0	0	43
309	0	0	43
310	0	0	43
311	0	0	43
312	0	0	43
313	0	0	43
314	0	0	43
315	0	0	43
316	0	0	43
317	0	0	43
318	0	0	43
319	0	0	43
320	0	0	43
321	0	0	43
322	0	0	43
323	0	0	43
324	0	0	43
325	0	0	43
326	0	0	43
327	0	0	43
328	0	0	43
329	0	0	43
330	0	0	43
331	0	0	43
332	0	0	43
333	0	0	43
334	0	0	43
335	0	0	43
336	0	0	43
337	0	0	43
338	0	0	43
339	0	0	43
340	0	0	43
341	0	0	43
342	0	0	43
343	0	0	43
344	0	0	43
345	0	0	43
346	0	0	43
347	0	0	43
348	0	0	43
349	0	0	43
350	0	0	43
351	0	0	43
352	0	0	43
353	0	0	43
354	0	0	43
355	0	0	43
356	0	0	43
357	0	0	43
358	0	0	43
359	0	0	43
360	0	0	43
361	0	0	43
362	0	0	43
363	0	0	43
364	0	0	43
365	0	0	43
366	0	0	43
367	0	0	43
368	0	0	43
369	0	0	43
370	0	0	43
371	0	0	43
372	0	0	43
373	0	0	43
374	0	0	43
375	0	0	43
376	0	0	43
377	0	0	43
378	0	0	43
379	0	0	43
380	0	0	43
381	0	0	43
382	0	0	43
383	0	0	43
384	0	0	43
385	0	0	43
386	0	0	43
387	0	0	43
388	0	0	43
389	0	0	43
390	0	0	43
391	0	0	43
392	0	0	43
393	0	0	43
394	0	0	43
395	0	0	43
396	0	0	43
397	0	0	43
398	0	0	43
399	0	0	43
400	0	0	43
401	0	0	43
402	0	0	43
403	0	0	43
404	0	0	43
405	0	0	43
406	0	0	43
407	0	0	43
408	0	0	43
409	0	0	43
410	0	0	43
411	0	0	43
412	0	0	43
413	0	0	43
414	0	0	43
415	0	0	43
416	0	0	43
417	0	0	43
418	0	0	43
419	0	0	43
420	0	0	43
421	0	0	43
422	0	0	43
423	0	0	43
424	0	0	43
425	0	0	43
426	0	0	43
427	0	0	43
428	0	0	43
429	0	0	43
430	0	0	43
431	0	0	43
432	0	0	43
433	0	0	43
434	0	0	43
435	0	0	43
436	0	0	43
437	0	0	43
438	0	0	43
439	0	0	43
440	0	0	43
441	0	0	43
442	0	0	43
443	0	0	43
444	0	0	43
445	0	0	43
446	0	0	43
447	0	0	43
448	0	0	43
449	0	0	43
450	0	0	43
451	0	0	43
452	0	0	43
453	0	0	43
454	0	0	43
455	0	0	43
456	0	0	43
457	0	0	43
458	0	0	43
459	0	0	43
460	0	0	43
461	0	0	43
462	0	0	43
463	0	0	43
464	0	0	43
465	0	0	43
466	0	0	43
467	0	0	43
468	0	0	43
469	0	0	43
470	0	0	43
471	0	0	43
472	0	0	43
473	0	0	43
474	0	0	43
475	0	0	43
476	0	0	43
477	0	0	43
478	0	0	43
479	0	0	43
480	0	0	43
481	0	0	43
482	0	0	43
483	0	0	43
484	0	0	43
485	0	0	43
486	0	0	43
487	0	0	43
488	0	0	43
489	0	0	43
490	0	0	43
491	0	0	43
492	0	0	43
493	0	0	43
494	0	0	43
495	0	0	43
496	0	0	43
497	0	0	43
498	0	0	43
499	0	0	43
500	0	0	43
501	0	0	43
502	0	0	43
503	0	0	43
504	0	0	43
505	0	0	43
506	0	0	43
507	0	0	43
508	0	0	43
509	0	0	43
510	0	0	43
511	0	0	43
512	0	0	43
513	0	0	43
514	0	0	43
515	0	0	43
516	0	0	43
517	0	0	43
518	0	0	43
519	0	0	43
520	0	0	43
521	0	0	43
522	0	0	43
523	0	0	43
524	0	0	43
525	0	0	43
526	0	0	43
527	0	0	43
528	0	0	43
529	0	0	43
530	0	0	43
531	0	0	43
532	0	0	43
533	0	0	43
534	0	0	43
535	0	0	43
536	0	0	43
537	0	0	43
538	0	0	43
539	0	0	43
540	0	0	43
541	0	0	43
542	0	0	43
543	0	0	43
544	0	0	43
545	0	0	43
546	0	0	43
547	0	0	43
548	0	0	43
549	0	0	43
550	0	0	43
551	0	0	43
552	0	0	43
553	0	0	43
554	0	0	43
555	0	0	43
556	0	0	43
557	0	0	43
558	0	0	43
559	0	0	43
560	0	0	43
561	0	0	43
562	0	0	43
563	0	0	43
564	0	0	43
565	0	0	43
566	0	0	43
567	0	0	43
568	0	0	43
569	0	0	43
570	0	0	43
571	0	0	43
572	0	0	43
573	0	0	43
574	0	0	43
575	0	0	43
576	0	0	43
577	0	0	43
578	0	0	43
579	0	0	43
580	0	0	43
581	0	0	43
582	0	0	43
583	0	0	43
584	0	0	43
585	0	0	43
586	0	0	43
587	0	0	43
588	0	0	43
589	0	0	43
590	0	0	43
591	0	0	43
592	0	0	43
593	0	0	43
594	0	0	43
595	0	0	43
596	0	0	43
597	0	0	43
598	0	0	43
599	0	0	43
600	0	0	43
601	0	0	43
602	0	0	43
603	0	0	43
604	0	0	43
605	0	0	43
606	0	0	43
607	0	0	43
608	0	0	43
609	0	0	43
610	0	0	43
611	0	0	43
612	0	0	43
613	0	0	43
614	0	0	43
615	0	0	43
616	0	0	43
617	0	0	43
618	0	0	43
619	0	0	43
620	0	0	43
621	0	0	43
622	0	0	43
623	0	0	43
624	0	0	43
625	0	0	43
626	0	0	43
627	0	0	43
628	0	0	43
629	0	0	43
630	0	0	43
631	0	0	43
632	0	0	43
633	0	0	43
634	0	0	43
635	0	0	43
636	0	0	43
637	0	0	43
638	0	0	43
639	0	0	43
640	0	0	43
641	0	0	43
642	0	0	43
643	0	0	43
644	0	0	43
645	0	0	43
646	0	0	43
647	0	0	43
648	0	0	43
649	0	0	43
650	0	0	43
651	0	0	43
652	0	0	43
653	0	0	43
654	0	0	43
655	0	0	43
656	0	0	43
657	0	0	43
658	0	0	43
659	0	0	43
660	0	0	43
661	0	0	43
662	0	0	43
663	0	0	43
664	0	0	43
665	0	0	43
666	0	0	43
667	0	0	43
668	0	0	43
669	0	0	43
670	0	0	43
671	0	0	43
672	0	0	43
673	0	0	43
674	0	0	43
675	0	0	43
676	0	0	43
677	0	0	43
678	0	0	43
679	0	0	43
680	0	0	43
681	0	0	43
682	0	0	43
683	0	0	43
684	0	0	43
685	0	0	43
686	0	0	43
687	0	0	43
688	0	0	43
689	0	0	43
690	0	0	43
691	0	0	43
692	0	0	43
693	0	0	43
694	0	0	43
695	0	0	43
696	0	0	43
697	0	0	43
698	0	0	43
699	0	0	43
700	0	0	43
701	0	0	43
702	0	0	43
703	0	0	43
704	0	0	43
705	0	0	43
706	0	0	43
707	0	0	43
708	0	0	43
709	0	0	43
710	0	0	43
711	0	0	43
712	0	0	43
713	0	0	43
714	0	0	43
715	0	0	43
716	0	0	43
717	0	0	43
718	0	0	43
719	0	0	43
720	0	0	43
721	0	0	43
722	0	0	43
723	0	0	43
724	0	0	43
725	0	0	43
726	0	0	43
727	0	0	43
728	0	0	43
729	0	0	43
730	0	0	43
731	0	0	43
732	0	0	43
733	0	0	43
734	0	0	43
735	0	0	43
736	0	0	43
737	0	0	43
738	0	0	43
739	0	0	43
740	0	0	43
741	0	0	43
742	0	0	43
743	0	0	43
744	0	0	43
745	0	0	43
746	0	0	43
747	0	0	43
748	0	0	43
749	0	0	43
750	0	0	43
751	0	0	43
752	0	0	43
753	0	0	43
754	0	0	43
755	0	0	43
756	0	0	43
757	0	0	43
758	0	0	43
759	0	0	43
760	0	0	43
761	0	0	43
762	0	0	43
763	0	0	43
764	0	0	43
765	0	0	43
766	0	0	43
767	0	0	43
768	0	0	43
769	0	0	43
770	0	0	43
771	0	0	43
772	0	0	43
773	0	0	43
774	0	0	43
775	0	0	43
776	0	0	43
777	0	0	43
778	0	0	43
779	0	0	43
780	0	0	43
781	0	0	43
782	0	0	43
783	0	0	43
784	0	0	43
785	0	0	43
786	0	0	43
787	0	0	43
788	0	0	43
789	0	0	43
790	0	0	43
791	0	0	43
792	0	0	43
793	0	0	43
794	0	0	43
795	0	0	43
796	0	0	43
797	0	0	43
798	0	0	43
799	0	0	43
800	0	0	43
801	0	0	43
802	0	0	43
803	0	0	43
804	0	0	43
805	0	0	43
806	0	0	43
807	0	0	43
808	0	0	43
809	0	0	43
810	0	0	43
811	0	0	43
812	0	0	43
813	0	0	43
814	0	0	43
815	0	0	43
816	0	0	43
817	0	0	43
818	0	0	43
819	0	0	43
820	0	0	43
821	0	0	43
822	0	0	43
823	0	0	43
824	0	0	43
825	0	0	43
826	0	0	43
827	0	0	43
828	0	0	43
829	0	0	43
830	0	0	43
831	0	0	43
832	0	0	43
833	0	0	43
834	0	0	43
835	0	0	43
836	0	0	43
837	0	0	43
838	0	0	43
839	0	0	43
840	0	0	43
841	0	0	43
842	0	0	43
843	0	0	43
844	0	0	43
845	0	0	43
846	0	0	43
847	0	0	43
848	0	0	43
849	0	0	43
850	0	0	43
851	0	0	43
852	0	0	43
853	0	0	43
854	0	0	43
855	0	0	43
856	0	0	43
857	0	0	43
858	0	0	43
859	0	0	43
860	0	0	43
861	0	0	43
862	0	0	43
863	0	0	43
864	0	0	43
865	0	0	43
866	0	0	43
867	0	0	43
868	0	0	43
869	0	0	43
870	0	0	43
871	0	0	43
872	0	0	43
873	0	0	43
874	0	0	43
875	0	0	43
876	0	0	43
877	0	0	43
878	0	0	43
879	0	0	43
880	0	0	43
881	0	0	43
882	0	0	43
883	0	0	43
884	0	0	43
885	0	0	43
886	0	0	43
887	0	0	43
888	0	0	43
889	0	0	43
890	0	0	43
891	0	0	43
892	0	0	43
893	0	0	43
894	0	0	43
895	0	0	43
896	0	0	43
897	0	0	43
898	0	0	43
899	0	0	43
900	0	0	43
901	0	0	43
902	0	0	43
903	0	0	43
904	0	0	43
905	0	0	43
906	0	0	43
907	0	0	43
908	0	0	43
909	0	0	43
910	0	0	43
911	0	0	43
912	0	0	43
913	0	0	43
914	0	0	43
915	0	0	43
916	0	0	43
917	0	0	43
918	0	0	43
919	0	0	43
920	0	0	43
921	0	0	43
922	0	0	43
923	0	0	43
924	0	0	43
925	0	0	43
926	0	0	43
927	0	0	43
928	0	0	43
929	0	0	43
930	0	0	43
931	0	0	43
932	0	0	43
933	0	0	43
934	0	0	43
935	0	0	43
936	0	0	43
937	0	0	43
938	0	0	43
939	0	0	43
940	0	0	43
941	0	0	43
942	0	0	43
943	0	0	43
944	0	0	43
945	0	0	43
946	0	0	43
947	0	0	43
948	0	0	43
949	0	0	43
950	0	0	43
951	0	0	43
952	0	0	43
953	0	0	43
954	0	0	43
955	0	0	43
956	0	0	43
957	0	0	43
958	0	0	43
959	0	0	43
960	0	0	43
961	0	0	43
962	0	0	43
963	0	0	43
964	0	0	43
965	0	0	43
966	0	0	43
967	0	0	43
968	0	0	43
969	0	0	43
970	0	0	43
971	0	0	43
972	0	0	43
973	0	0	43
974	0	0	43
975	0	0	43
976	0	0	43
977	0	0	43
978	0	0	43
979	0	0	43
980	0	0	43
981	0	0	43
982	0	0	43
983	0	0	43
984	0	0	43
985	0	0	43
986	0	0	43
987	0	0	43
988	0	0	43
989	0	0	43
990	0	0	43
991	0	0	43
992	0	0	43
993	0	0	43
994	0	0	43
995	0	0	43
996	0	0	43
997	0	0	43
998	0	0	43
999	0	0	43
1000	0	0	43
1001	0	0	43
1002	0	0	43
1003	0	0	43
1004	0	0	43
1005	0	0	43
1006	0	0	43
1007	0	0	43
1008	0	0	43
1009	0	0	43
1010	0	0	43
1011	0	0	43
1012	0	0	43
1013	0	0	43
1014	0	0	43
1015	0	0	43
1016	0	0	43
1017	0	0	43
1018	0	0	43
1019	0	0	43
1020	0	0	43
1021	0	0	43
1022	0	0	43
1023	0	0	43
1024	0	0	43
1025	0	0	43
1026	0	0	43
1027	0	0	43
1028	0	0	43
1029	0	0	43
1030	0	0	43
1031	0	0	43
1032	0	0	43
1033	0	0	43
1034	0	0	43
1035	0	0	43
1036	0	0	43
1037	0	0	43
1038	0	0	43
1039	0	0	43
1040	0	0	43
1041	0	0	43
1042	0	0	43
1043	0	0	43
1044	0	0	43
1045	0	0	43
1046	0	0	43
1047	0	0	43
1048	0	0	43
1049	0	0	43
1050	0	0	43
1051	0	0	43
1052	0	0	43
1053	0	0	43
1054	0	0	43
1055	0	0	43
1056	0	0	43
1057	0	0	43
1058	0	0	43
1059	0	0	43
1060	0	0	43
1061	0	0	43
1062	0	0	43
1063	0	0	43
1064	0	0	43
1065	0	0	43
1066	0	0	43
1067	0	0	43
1068	0	0	43
1069	0	0	43
1070	0	0	43
1071	0	0	43
1072	0	0	43
1073	0	0	43
1074	0	0	43
1075	0	0	43
1076	0	0	43
1077	0	0	43
1078	0	0	43
1079	0	0	43
1080	0	0	43
1081	0	0	43
1082	0	0	43
1083	0	0	43
1084	0	0	43
1085	0	0	43
1086	0	0	43
1087	0	0	43
1088	0	0	43
1089	0	0	43
1090	0	0	43
1091	0	0	43
1092	0	0	43
1093	0	0	43
1094	0	0	43
1095	0	0	43
1096	0	0	43
1097	0	0	43
1098	0	0	43
1099	0	0	43
1100	0	0	43
1101	0	0	43
1102	0	0	43
1103	0	0	43
1104	0	0	43
1105	0	0	43
1106	0	0	43
1107	0	0	43
1108	0	0	43
1109	0	0	43
1110	0	0	43
1111	0	0	43
1112	0	0	43
1113	0	0	43
1114	0	0	43
1115	0	0	43
1116	0	0	43
1117	0	0	43
1118	0	0	43
1119	0	0	43
1120	0	0	43
1121	0	0	43
1122	0	0	43
1123	0	0	43
1124	0	0	43
1125	0	0	43
1126	0	0	43
1127	0	0	43
1128	0	0	43
1129	0	0	43
1130	0	0	43
1131	0	0	43
1132	0	0	43
1133	0	0	43
1134	0	0	43
1135	0	0	43
1136	0	0	43
1137	0	0	43
1138	0	0	43
1139	0	0	43
1140	0	0	43
1141	0	0	43
1142	0	0	43
1143	0	0	43
1144	0	0	43
1145	0	0	43
1146	0	0	43
1147	0	0	43
1148	0	0	43
1149	0	0	43
1150	0	0	43
1151	0	0	43
1152	0	0	43
1153	0	0	43
1154	0	0	43
1155	0	0	43
1156	0	0	43
1157	0	0	43
1158	0	0	43
1159	0	0	43
1160	0	0	43
1161	0	0	43
1162	0	0	43
1163	0	0	43
1164	0	0	43
1165	0	0	43
1166	0	0	43
1167	0	0	43
1168	0	0	43
1169	0	0	43
1170	0	0	43
1171	0	0	43
1172	0	0	43
1173	0	0	43
1174	0	0	43
1175	0	0	43
1176	0	0	43
1177	0	0	43
1178	0	0	43
1179	0	0	43
1180	0	0	43
1181	0	0	43
1182	0	0	43
1183	0	0	43
1184	0	0	43
1185	0	0	43
1186	0	0	43
1187	0	0	43
1188	0	0	43
1189	0	0	43
1190	0	0	43
1191	0	0	43
1192	0	0	43
1193	0	0	43
1194	0	0	43
1195	0	0	43
1196	0	0	43
1197	0	0	43
1198	0	0	43
1199	0	0	43
1200	0	0	43
1201	0	0	43
1202	0	0	43
1203	0	0	43
1204	0	0	43
1205	0	0	43
1206	0	0	43
1207	0	0	43
1208	0	0	43
1209	0	0	43
1210	0	0	43
1211	0	0	43
1212	0	0	43
1213	0	0	43
1214	0	0	43
1215	0	0	43
1216	0	0	43
1217	0	0	43
1218	0	0	43
1219	0	0	43
1220	0	0	43
1221	0	0	43
1222	0	0	43
1223	0	0	43
1224	0	0	43
1225	0	0	43
1226	0	0	43
1227	0	0	43
1228	0	0	43
1229	0	0	43
1230	0	0	43
1231	0	0	43
1232	0	0	43
1233	0	0	43
1234	0	0	43
1235	0	0	43
1236	0	0	43
1237	0	0	43
1238	0	0	43
1239	0	0	43
1240	0	0	43
1241	0	0	43
1242	0	0	43
1243	0	0	43
1244	0	0	43
1245	0	0	43
1246	0	0	43
1247	0	0	43
1248	0	0	43
1249	0	0	43
1250	0	0	43
1251	0	0	43
1252	0	0	43
1253	0	0	43
1254	0	0	43
1255	0	0	43
1256	0	0	43
1257	0	0	43
1258	0	0	43
1259	0	0	43
1260	0	0	43
1261	0	0	43
1262	0	0	43
1263	0	0	43
1264	0	0	43
1265	0	0	43
1266	0	0	43
1267	0	0	43
1268	0	0	43
1269	0	0	43
1270	0	0	43
1271	0	0	43
1272	0	0	43
1273	0	0	43
1274	0	0	43
1275	0	0	43
1276	0	0	43
1277	0	0	43
1278	0	0	43
1279	0	0	43
1280	0	0	43
1281	0	0	43
1282	0	0	43
1283	0	0	43
1284	0	0	43
1285	0	0	43
1286	0	0	43
1287	0	0	43
1288	0	0	43
1289	0	0	43
1290	0	0	43
1291	0	0	43
1292	0	0	43
1293	0	0	43
1294	0	0	43
1295	0	0	43
1296	0	0	43
1297	0	0	43
1298	0	0	43
1299	0	0	43
1300	0	0	43
1301	0	0	43
1302	0	0	43
1303	0	0	43
1304	0	0	43
1305	0	0	43
1306	0	0	43
1307	0	0	43
1308	0	0	43
1309	0	0	43
1310	0	0	43
1311	0	0	43
1312	0	0	43
1313	0	0	43
1314	0	0	43
1315	0	0	43
1316	0	0	43
1317	0	0	43
1318	0	0	43
1319	0	0	43
1320	0	0	43
1321	0	0	43
1322	0	0	43
1323	0	0	43
1324	0	0	43
1325	0	0	43
1326	0	0	43
1327	0	0	43
1328	0	0	43
1329	0	0	43
1330	0	0	43
1331	0	0	43
1332	0	0	43
1333	0	0	43
1334	0	0	43
1335	0	0	43
1336	0	0	43
1337	0	0	43
1338	0	0	43
1339	0	0	43
1340	0	0	43
1341	0	0	43
1342	0	0	43
1343	0	0	43
1344	0	0	43
1345	0	0	43
1346	0	0	43
1347	0	0	43
1348	0	0	43
1349	0	0	43
1350	0	0	43
1351	0	0	43
1352	0	0	43
1353	0	0	43
1354	0	0	43
1355	0	0	43
1356	0	0	43
1357	0	0	43
1358	0	0	43
1359	0	0	43
1360	0	0	43
1361	0	0	43
1362	0	0	43
1363	0	0	43
1364	0	0	43
1365	0	0	43
1366	0	0	43
1367	0	0	43
1368	0	0	43
1369	0	0	43
1370	0	0	43
1371	0	0	43
1372	0	0	43
1373	0	0	43
1374	0	0	43
1375	0	0	43
1376	0	0	43
1377	0	0	43
1378	0	0	43
1379	0	0	43
1380	0	0	43
1381	0	0	43
1382	0	0	43
1383	0	0	43
1384	0	0	43
1385	0	0	43
1386	0	0	43
1387	0	0	43
1388	0	0	43
1389	0	0	43
1390	0	0	43
1391	0	0	43
1392	0	0	43
1393	0	0	43
1394	0	0	43
1395	0	0	43
1396	0	0	43
1397	0	0	43
1398	0	0	43
1399	0	0	43
1400	0	0	43
1401	0	0	43
1402	0	0	43
1403	0	0	43
1404	0	0	43
1405	0	0	43
1406	0	0	43
1407	0	0	43
1408	0	0	43
1409	0	0	43
1410	0	0	43
1411	0	0	43
1412	0	0	43
1413	0	0	43
1414	0	0	43
1415	0	0	43
1416	0	0	43
1417	0	0	43
1418	0	0	43
1419	0	0	43
1420	0	0	43
1421	0	0	43
1422	0	0	43
1423	0	0	43
1424	0	0	43
1425	0	0	43
1426	0	0	43
1427	0	0	43
1428	0	0	43
1429	0	0	43
1430	0	0	43
1431	0	0	43
1432	0	0	43
1433	0	0	43
1434	0	0	43
1435	0	0	43
1436	0	0	43
1437	0	0	43
1438	0	0	43
1439	0	0	43
1440	0	0	43
1441	0	0	43
1442	0	0	43
1443	0	0	43
1444	0	0	43
1445	0	0	43
1446	0	0	43
1447	0	0	43
1448	0	0	43
1449	0	0	43
1450	0	0	43
1451	0	0	43
1452	0	0	43
1453	0	0	43
1454	0	0	43
1455	0	0	43
1456	0	0	43
1457	0	0	43
1458	0	0	43
1459	0	0	43
1460	0	0	43
1461	0	0	43
1462	0	0	43
1463	0	0	43
1464	0	0	43
1465	0	0	43
1466	0	0	43
1467	0	0	43
1468	0	0	43
1469	0	0	43
1470	0	0	43
1471	0	0	43
1472	0	0	43
1473	0	0	43
1474	0	0	43
1475	0	0	43
1476	0	0	43
1477	0	0	43
1478	0	0	43
1479	0	0	43
1480	0	0	43
1481	0	0	43
1482	0	0	43
1483	0	0	43
1484	0	0	43
1485	0	0	43
1486	0	0	43
1487	0	0	43
1488	0	0	43
1489	0	0	43
1490	0	0	43
1491	0	0	43
1492	0	0	43
1493	0	0	43
1494	0	0	43
1495	0	0	43
1496	0	0	43
1497	0	0	43
1498	0	0	43
1499	0	0	43
1500	0	0	43
1501	0	0	43
1502	0	0	43
1503	0	0	43
1504	0	0	43
1505	0	0	43
1506	0	0	43
1507	0	0	43
1508	0	0	43
1509	0	0	43
1510	0	0	43
1511	0	0	43
1512	0	0	43
1513	0	0	43
1514	0	0	43
1515	0	0	43
1516	0	0	43
1517	0	0	43
1518	0	0	43
1519	0	0	43
1520	0	0	43
1521	0	0	43
1522	0	0	43
1523	0	0	43
1524	0	0	43
1525	0	0	43
1526	0	0	43
1527	0	0	43
1528	0	0	43
1529	0	0	43
1530	0	0	43
1531	0	0	43
1532	0	0	43
1533	0	0	43
1534	0	0	43
1535	0	0	43
1536	0	0	43
1537	0	0	43
1538	0	0	43
1539	0	0	43
1540	0	0	43
1541	0	0	43
1542	0	0	43
1543	0	0	43
1544	0	0	43
1545	0	0	43
1546	0	0	43
1547	0	0	43
1548	0	0	43
1549	0	0	43
1550	0	0	43
1551	0	0	43
1552	0	0	43
1553	0	0	43
1554	0	0	43
1555	0	0	43
1556	0	0	43
1557	0	0	43
1558	0	0	43
1559	0	0	43
1560	0	0	43
1561	0	0	43
1562	0	0	43
1563	0	0	43
1564	0	0	43
1565	0	0	43
1566	0	0	43
1567	0	0	43
1568	0	0	43
1569	0	0	43
1570	0	0	43
1571	0	0	43
1572	0	0	43
1573	0	0	43
1574	0	0	43
1575	0	0	43
1576	0	0	43
1577	0	0	43
1578	0	0	43
1579	0	0	43
1580	0	0	43
1581	0	0	43
1582	0	0	43
1583	0	0	43
1584	0	0	43
1585	0	0	43
1586	0	0	43
1587	0	0	43
1588	0	0	43
1589	0	0	43
1590	0	0	43
1591	0	0	43
1592	0	0	43
1593	0	0	43
1594	0	0	43
1595	0	0	43
1596	0	0	43
1597	0	0	43
1598	0	0	43
1599	0	0	43
1600	0	0	43
1601	0	0	43
1602	0	0	43
1603	0	0	43
1604	0	0	43
1605	0	0	43
1606	0	0	43
1607	0	0	43
1608	0	0	43
1609	0	0	43
1610	0	0	43
1611	0	0	43
1612	0	0	43
1613	0	0	43
1614	0	0	43
1615	0	0	43
1616	0	0	43
1617	0	0	43
1618	0	0	43
1619	0	0	43
1620	0	0	43
1621	0	0	43
1622	0	0	43
1623	0	0	43
1624	0	0	43
1625	0	0	43
1626	0	0	43
1627	0	0	43
1628	0	0	43
1629	0	0	43
1630	0	0	43
1631	0	0	43
1632	0	0	43
1633	0	0	43
1634	0	0	43
1635	0	0	43
1636	0	0	43
1637	0	0	43
1638	0	0	43
1639	0	0	43
1640	0	0	43
1641	0	0	43
1642	0	0	43
1643	0	0	43
1644	0	0	43
1645	0	0	43
1646	0	0	43
1647	0	0	43
1648	0	0	43
1649	0	0	43
1650	0	0	43
1651	0	0	43
1652	0	0	43
1653	0	0	43
1654	0	0	43
1655	0	0	43
1656	0	0	43
1657	0	0	43
1658	0	0	43
1659	0	0	43
1660	0	0	43
